id,Comentários,Gênero,Razão
66.000000,"Uma experiencia a não repetir e que me leva a nao recomendar o hotel.","mulher","recreação"
67.000000,"o hotel tem instalação modernas e muito confortáveis","mulher","negócio"
68.000000," o funcionário é mal informado e mal treinado. O preço cobrado  é abusivo","mulher","negócio"
69.000000,"O preço cobrado  é abusivo","homem","negócio"
70.000000,"O serviço é péssimo. Pessoas mal treinadas e processo de check-in muito lento","mulher","recreação"
71.000000,"secador de cabelo não funcionava, comida de qualidade discutivel e repetitiva","mulher","recreação"
72.000000,"O Hotel é velho","homem","negócio"
73.000000,"secador de cabelo não funcionava","mulher","negócio"
74.000000," é un hotel antiguo","homem","negócio"
75.000000,"O preço cobrado  é abusivo","homem","recreação"
76.000000,"comida de qualidade discutivel e repetitiva","homem","recreação"
77.000000,"comida repetitiva e de qualidade discutivel","mulher","negócio"
78.000000,"O atendimento foi terrível.","homem","recreação"
79.000000,"O atendimento foi muito eficiente e sempre com muito boa vontade. As pessoas sempre atenderam demonstrando alegria.","mulher","recreação"
80.000000,"Espaço do quarto, diversidade do café da manhã,qualidade dos serviços e atendimento eficaz e atencioso.","homem","recreação"
81.000000,"Ótimas instalações. Funcionários em geral muito qualificados, atenciosos e muito educados.","homem","negócio"
82.000000,"O atendimento  é excelente. Todos os funcionários são muito cordiais. A única parte do hotel que não gostei foi a academia que tem pouquíssimos equipamentos, poucas variedades de pesos para fazer os exercícios e o espaço é pequeno.","homem","negócio"
83.000000,"Ótimas instalações.","homem","recreação"
84.000000,"O atendimento no restaurante foi terrível","homem","recreação"
85.000000,"Funcionários em geral muito qualificados, atenciosos e muito educados.","mulher","negócio"
86.000000,"instalações do quarto velhas e com mau estado de conservação","homem","negócio"
87.000000,"Funcionários em geral muito qualificados, atenciosos e muito educados.","mulher","recreação"
88.000000,"Localização privilegiada ; bom atendimento de seus funcionários","homem","negócio"
89.000000,"Bom atendimento de seus funcionários","homem","recreação"
90.000000,"O atendimento foi terrível.","mulher","recreação"
91.000000,"O atendimento foi terrível.","mulher","negócio"
92.000000,"chuveiro quebrado","homem","recreação"
93.000000,"café da manhã ","mulher","negócio"
94.000000,"pessima estadia","mulher","negócio"
95.000000,"O atendimento foi terrivel.","homem","negócio"
96.000000,"localização","homem","negócio"
97.000000,"atendimento de seus funcionários","mulher","recreação"
98.000000,"internet nos quartos gratuita","homem","recreação"
99.000000,"manutenção de alguns equipamentos & quartos","mulher","negócio"
100.000000,"Limpo, com qualidade e com excelente atendimento","homem","negócio"
101.000000,"Na forma amável de seus funcionários. Parabéns!","mulher","negócio"
102.000000,"no atendimento e disponibilidade dos funcionários quando necessário.","mulher","negócio"
103.000000,"No atendimento e limpeza","mulher","recreação"
104.000000,"O serviço é bastante impessoal","homem","recreação"
105.000000,"O quarto tinha um barulho muito alto ","homem","negócio"
106.000000,"O quarto deveria estar mais limpo. ","homem","negócio"
107.000000,"Preco exorbitante","homem","recreação"
108.000000,"tarifa muito alta. preço exorbitante do café da manhã. Internet nao gratis","homem","recreação"
109.000000,"Não internet. Não elevador. Não upgrade.","mulher","recreação"
110.000000,"Não há serviço de quarto!  O elevador não funciona","mulher","recreação"
111.000000,"não há qualquer privilégio no acesso ao night club do hotel.","homem","negócio"
112.000000,"Não havia toalhas de banho. O elevador ","mulher","negócio"
113.000000,"Internet Wireless grátis","mulher","recreação"
114.000000,"Hotel com uma espetacular localização. Bom elevador. Boa comida. Reception desk muito atento","mulher","recreação"
115.000000,"excelente!!!!!!!!!!!!!!!!!!!!!!!!","mulher","negócio"
116.000000,"o acesso à internet deveria ser livre.","mulher","negócio"
117.000000,"internet impoissível. Reception desk muito ruim...Apartamentos Ok","homem","recreação"
118.000000,"Reception desk muito ruim","mulher","recreação"
119.000000," internet impoissível. Não jornais.","homem","negócio"
120.000000,"Cortezia. Limpeza. Disponibilidade de Internet. Acomodações muito boas.","mulher","negócio"
121.000000,"Acomodações muito boas.","homem","negócio"
122.000000,"Acesso a internet pago e complicado. Não jornal gratuito","mulher","recreação"
123.000000,"O cafe da manha nao era bom, nao havia wireless nos apartamentos","mulher","recreação"
124.000000,"Quarto pequeno, sem internet gratuita.","mulher","negócio"
125.000000,"Acesso a internet pago e complicado","mulher","recreação"
126.000000,"Ótimas acomodações e atendimento.","homem","recreação"
127.000000,"O club lounge oferece internet gratuita","homem","recreação"
128.000000,"Qualidade das acomodações e atenção de todos os colaboradores do hotel.","mulher","negócio"
129.000000,"Qualidade das acomodações e estrutura do hotel.","homem","recreação"
130.000000,"Obras durante a madrugada, com barulho prejudicando o sono","homem","recreação"
131.000000,"Bom quarto, funcionarios atenciosos","homem","recreação"
132.000000,"Quartos pequenos, sem internet gratuita.","mulher","negócio"
133.000000,"Este hotel possui excelente localização e um staff sempre atencioso","mulher","negócio"
134.000000,"servico do pessoal atento e disponivel para qualquer questao","mulher","negócio"
135.000000,"cama pequena, sem internet gratuita.","mulher","negócio"
136.000000,"acomodações e cordialidade dos atendentes.","homem","negócio"
137.000000,"funcionários muito atenciosos e educados. Atendimento rápido e conforto acima do esperado","mulher","recreação"
138.000000,"Staff nada condial","mulher","recreação"
139.000000,"Quarto é pequeno para o que se espera de um hotel 5*. Internet paga nos quartos. Ausencia de estacionamento privativo","mulher","negócio"
140.000000,"O hotel fede cigarro ","mulher","negócio"
141.000000,"pessoas muito simpáticas e prestáveis. Espaço exterior/piscina muito agradável","homem","recreação"
142.000000,"O café da manhã poderia ser melhor.","homem","recreação"
143.000000,"Gostei da atmosfera, a hospitalidade, a comida, a decoração, a piscina ea localização","homem","recreação"
144.000000,"Não gostei da atmosfera,  a decoração , a piscina ea localização","homem","recreação"
145.000000,"Pessoal não bom. ","mulher","recreação"
146.000000,"pessoal não teve nada de cordial","homem","recreação"
147.000000,"pessoal não  cordial","homem","negócio"
148.000000,"O hotel não é barato","homem","negócio"
149.000000,"foi decepcionante a limpeza dos quartos","mulher","negócio"
150.000000,"foi decepcionante a localização  do hotel ","mulher","negócio"
151.000000,"cama não desconfortável","homem","negócio"
152.000000,"Espaço exterior/piscina muito agradável","mulher","recreação"
153.000000,"internet nos quartos gratuita","mulher","recreação"
154.000000,"Manutenção e acabamento dos quartos e área de lazer deixaram a desejar","mulher","recreação"
155.000000,"hotel e restaurante ok","homem","negócio"
156.000000,"O quarto tem uma decoraçao antiga, porém é amplo e confortavel","mulher","recreação"
157.000000,"O hotel tem uma agradável piscina","mulher","recreação"
158.000000,"O hotel tem uma piscina agradável","homem","recreação"
159.000000,"O club lounge oferece internet gratuita e uma estaçao de trabalho","homem","recreação"
160.000000,"O club lounge oferece internet gratuita","homem","recreação"
161.000000,"O QUARTO TEM UMA DECORAÇÃO RELATIVAMENTE ANTIGA, PORÉM É AMPLO E CONFORTÁVEL","mulher","negócio"
162.000000,"o hotel tem instalação modernas e muito confortáveis.","homem","negócio"
163.000000,"O ambiente é nuito agradável","mulher","recreação"
164.000000,"O atendimento de todos os funcionários é sempre cortêz, amável e respeitoso.","homem","recreação"
165.000000,"o breakfeast é excepcional.","mulher","negócio"
166.000000,"A banheira oferecida para o banho do nosso filho estava suja","mulher","recreação"
167.000000,"Quarto é pequeno para o que se espera de um hotel 5*","homem","recreação"
168.000000,"Internet paga nos quartos.","mulher","recreação"
169.000000,"processo de check in e check out muito lento.","mulher","negócio"
170.000000,"O preço cobrado pelo estacionamento é abusivo","homem","negócio"
171.000000,"O atendimento não foi condizente com um hotel 5 estrelas. ","mulher","negócio"
172.000000,"Ficamos satisfeitos com o check-in e check-out e o serviço de room service","mulher","recreação"
173.000000,"Ausencia de estacionamento privativo","homem","recreação"
174.000000,"Tudo perfeito! Atendimento maravilhoso! ","homem","recreação"
175.000000,"O quarto deveria estar mais limpo. ","mulher","recreação"
176.000000,"O serviço de valet é péssimo","mulher","recreação"
177.000000,"comida de qualidade discutivel","homem","negócio"
178.000000,"Quarto não fumante com cheiro de mofo","homem","negócio"
179.000000,"Havia manchas no chão do quarto.","mulher","negócio"
180.000000,"Estacionamento paga.","homem","recreação"
181.000000,"Limpeza descuidada","mulher","recreação"
182.000000,"Foi decepcionante a limpeza dos quartos","mulher","recreação"
183.000000,"O quarto estava umido","homem","recreação"
184.000000,"Os travesseiros estavam com mau cheiro","homem","negócio"
185.000000,"Secador de cabelo não funcionava","mulher","negócio"
186.000000,"O carpet do meu quarto estava  sujo com manchas","mulher","negócio"
187.000000,"A cordialidade do serviço e a limpeza e conforto das instalações","mulher","recreação"
188.000000,"Atendimento cordial ","homem","negócio"
189.000000,"Agua da banheira pouco quente.","homem","recreação"
190.000000,"Camas muito estreitas","homem","recreação"
191.000000,"quarto muito arejado e limpo","mulher","negócio"
192.000000,"Funcionários atentos","mulher","recreação"
193.000000,"O Hotel é velho em tudo","homem","negócio"
194.000000,"falta de comodidade nas salas comuns","homem","recreação"
195.000000,"Decoração de interiores muito fraca e sombria","mulher","recreação"
196.000000,"O quarto é amplo e confortavel.","mulher","recreação"
197.000000,"O quarto tem una decoraçao relativamente antigua","mulher","recreação"
198.000000,"Manutenção e área de lazer deixaram a desejar","mulher","recreação"
199.000000,"O atendimento é realmente muito bom","homem","recreação"
200.000000,"Os quartos sao excelentes, amplos e limpos","homem","recreação"
201.000000,"Quarto amplo, limpo, localizaçao excelente.","mulher","recreação"
202.000000,"Limpo, com qualidade e com excelente atendimento","mulher","negócio"
203.000000,"os quartos necessitam de modernização.","homem","negócio"
204.000000,"O equipamento dos apartamentos precissam de modernizacao","homem","recreação"
205.000000,"Mal conservado, papel de parede rasgado","mulher","negócio"
206.000000,"Má insonorização dos quartos","mulher","recreação"
207.000000,"Uma experiencia a não repetir","mulher","recreação"
208.000000,"experienca que me leva a nao recomendar o hotel","mulher","recreação"
209.000000,"Ar condicionado ruim","mulher","recreação"
210.000000,"cama pequena, sem internet gratuita.","homem","negócio"
211.000000,"Excelente. Nada a reclamar.","mulher","recreação"
212.000000,"O hotel  tornou-se uma extensão da nossa casa","mulher","recreação"
213.000000,"atenção e dedicação dos funcionários","mulher","recreação"
214.000000,"Atendimento maravilhoso!","mulher","recreação"
215.000000,"O hotele é sempre um prazer rotornar!","mulher","recreação"
216.000000,"Tudo muito bom","homem","negócio"
217.000000,"Organização impecável","homem","recreação"
218.000000,"o antendimento, desde a recepção ao serviço de quarto.","mulher","recreação"
219.000000,"processo de check in e check out muito lento.","mulher","recreação"
220.000000,"Os serviços são extremamente lentos  para um hotel desse padrào","mulher","recreação"
221.000000,"O hotell é maravilhoso","mulher","recreação"
222.000000,"maravilhosa estadia","mulher","recreação"
223.000000,"O quarto era espaçoso, o banheiro não tinha banheira , mas o tamanho era razoável.","homem","negócio"
224.000000,"O hotel conta com uma pequena sala de fitness","homem","recreação"
225.000000,"o café é muito bom e os atendentes são bem atenciosos.","mulher","negócio"
226.000000,"A internet wifi funciona muito bem","mulher","recreação"
227.000000,"as tvs eram uma piada","homem","negócio"
228.000000,"A única coisa a reclamar neste hotel é sem dúvida o tamanho do elevador","homem","recreação"
229.000000,"o elevador é muito pequeno","mulher","negócio"
230.000000,"Hotel com pouca infraestrutura, mal localizado, com um elevador que é uma piada","mulher","recreação"
231.000000,"quarto pequeno e com instalações antigas","homem","negócio"
232.000000,"Não recomendo a ninguém","homem","recreação"
233.000000,"O Hotel é realmente bem limpo","mulher","negócio"
234.000000,"Os funcionários são atenciosos e educados","mulher","recreação"
235.000000,"Excelente Hotel, ótima localização, atendimento extremamente cordial e eficiente","homem","negócio"
236.000000,"acomodações confortáveis, restaurante muito bom","homem","recreação"
237.000000,"preço justo","mulher","negócio"
238.000000,"recomendo a todos que visitarem Paris","mulher","recreação"
239.000000,"o café da manhã é sofrível","homem","negócio"
240.000000,"Quartos amplos e confortáveis, muito limpos","homem","recreação"
241.000000,"há restaurantes próximos.","mulher","negócio"
242.000000,"Serviço muito bom. Localização a poucos minutos de trabalho","mulher","negócio"
243.000000,"Café da manhã bem diversificado e funcionários atenciosos","homem","recreação"
244.000000,"Ótimo custo beneficio","homem","negócio"
245.000000,"quartos super espaçosos e confortáveis","mulher","recreação"
246.000000,"bom custo-benefício","mulher","negócio"
247.000000,"Barulho e Água Fria!","homem","recreação"
248.000000,"O Hotel é bem bonito, luxuoso, a localização boa em frente ao shopping","mulher","negócio"
249.000000,"a academia muito boa e os funcionários bem simpáticos","homem","recreação"
250.000000,"O wifi funciona muito bem","homem","negócio"
251.000000,"parking free, cafe da manha incluido, quarto bom e localização","mulher","recreação"
252.000000,"As instalações impecáveis","mulher","negócio"
253.000000,"excelente atendimento","homem","recreação"
254.000000,"A localização do hotel também é um ponto forte","homem","negócio"
255.000000,"Quando voltar á Paris certamente irei ficas neste hotel","mulher","recreação"
256.000000,"funcionários muito bem treinados e solícitos","mulher","negócio"
257.000000,"Hotel muito limpo e bem decorado","homem","recreação"
258.000000,"Quartos grandes com banheiros novos e limpos","homem","negócio"
259.000000,"Trata-se de um hotel muito bem localizado","mulher","recreação"
260.000000,"não tivemos problemas com funcionamento.","mulher","negócio"
261.000000,"Esse hotel é imbatível","homem","recreação"
262.000000,"Parking free, cafe da manha incluido, quarto bom e localização","homem","negócio"
263.000000,"ar condicionado que faz muito barulho","mulher","recreação"
264.000000,"Atendimento de primeira qualidade","mulher","negócio"
265.000000,"atendentes super atenciosos","homem","recreação"
266.000000,"Café da manhã variado com frutas, doces, pães, sucos.","homem","negócio"
267.000000,"Por diversas vezes liguei reclamando do cheiro de cigarro.","mulher","recreação"
268.000000,"a cama é confortável. Café da manhã bom. Localização muito boa.","mulher","negócio"
269.000000,"Hotel muito bom, quarto agradável, recepção atenciosa, ótima localização.","homem","recreação"
270.000000,"Café da manhã excelente, funcionários prestativos.","homem","negócio"
271.000000,"O hotel conta com uma estrutura ótima.","mulher","recreação"
272.000000,"Experiencia ruim","mulher","negócio"
273.000000,"elevador barulhento da ate medo","homem","recreação"
274.000000,"funcionários não são gentis. Quartos muitos estreitos","homem","negócio"
275.000000,"cheira mofo","mulher","recreação"
276.000000,"Hotel antigo, deteriorado. Quarto estreito","mulher","negócio"
277.000000,"Hotel horrivel; quarto estreito ; reserva ruim","homem","recreação"
278.000000,"lâmpadas queimadas. Desconfortável","homem","negócio"
279.000000,"E fora que um dia faltou água no quarto","mulher","recreação"
280.000000,"Lamentável que um hotel situado em um dos melhores pontos de Vitória esteja sendo tão mal cuidado.","mulher","negócio"
281.000000,"A beleza e a tranquilidade do local. Uma boa reserva.","mulher","recreação"
282.000000,"Equipe extremamente gentil, hotel silencioso e club lounge de boa qualidade","mulher","recreação"
283.000000,"O frigobar não foi reposto diariamente.","mulher","recreação"
284.000000,"O ar condicionado não esfriava direito.","mulher","recreação"
285.000000,"Foi excepcional desdeo quarto até ao restaurante","mulher","recreação"
286.000000,"Cofre e Minibar nao estavam disponíveis.","mulher","recreação"
287.000000,"Cobranca de despesas extras nao consumida","mulher","recreação"
288.000000,"Atendimento rápido e eficiente","mulher","recreação"
289.000000,"Atendimento do recepcionista no momento do check in foi maravilhoso. ","mulher","recreação"
290.000000,"Todos meus pedidos foram concedidos.","mulher","recreação"
291.000000,"quartos confortáveis. Bom estacionamento","mulher","recreação"
292.000000,"A cordialidade do serviço e a limpeza e conforto dos quartos","mulher","recreação"
293.000000,"A beleza e a tranquilidade do local.","mulher","recreação"
294.000000,"Atendimento excelente. Qualidade das acomodações","mulher","recreação"
295.000000,"Atendimento cordial,quarto muito arejado e limpo,  piscina excelente.","mulher","recreação"
296.000000,"Instalações de praia e piscina excelentes.","mulher","recreação"
297.000000,"Instalações excelentes. Localização perfeita, com acesso a tudo.","mulher","recreação"
298.000000,"Atendimento muito bom, sempre ágil e cortês. ","mulher","recreação"
299.000000,"Bom quarto, funcionarios atenciosos","mulher","recreação"
300.000000,"Bom atendimento. Excelente área e localização do hotel.","mulher","recreação"
301.000000,"nunca tive problemas","homem","negócio"
302.000000,"o club lounge oferece internet gratuita","homem","negócio"
303.000000,"o acesso à internet deveria ser livre.","mulher","recreação"
304.000000,"o ajudante de recepção nos atendeu muito bem","mulher","recreação"
305.000000,"Com uma ótima recepção e atendimento","mulher","negócio"
306.000000,"Excelente área e localização do hotel","homem","recreação"
307.000000,"Conforto do quarto","mulher","recreação"
308.000000,"Cordialidade e interação com os funcionários foi perfeita","homem","recreação"
309.000000,"atendimento eficaz e atencioso","mulher","recreação"
310.000000,"diversidade do café da manhã","homem","negócio"
311.000000,"O staff é muito gentil","mulher","recreação"
312.000000,"Excelente atendimento, prontod a responder","homem","negócio"
313.000000,"manutenção muito cuidada","mulher","recreação"
314.000000,"os quartos deliciosos e limpissimos","homem","negócio"
315.000000,"O Hotel é moderníssimo, muito confortável","mulher","recreação"
316.000000,"foi simplesmente excepcional","homem","recreação"
317.000000,"Gostamos muito do hotel","mulher","negócio"
318.000000,"pessoas muito atenciosas e prestativas","homem","negócio"
319.000000,"café da manhã excelente","mulher","recreação"
320.000000,"os quartos deliciosos e limpissimos","homem","recreação"
321.000000,"durante a hospedagem fomos muito bem atendido","mulher","negócio"
322.000000,"o único ponto negativo foi o café da manhã","homem","recreação"
323.000000,"Hotel bem localizado.","mulher","recreação"
324.000000,"Agua da banheira pouco quente.","homem","negócio"
325.000000,"Camas muito estreitas","mulher","recreação"
326.000000,"Funcionários atentos","homem","negócio"
327.000000,"Espaço exterior/piscina muito agradável","mulher","recreação"
328.000000,"Praia do hotel excelente","homem","negócio"
329.000000,"Hotel com uma espetacular localização","mulher","recreação"
330.000000,"Internet Wireless grátis no quarto","homem","negócio"
331.000000,"Limpesa, eficiencia na recepção, boa localização","mulher","recreação"
332.000000,"Limpesa, eficiencia na recepção, boa localização","homem","recreação"
333.000000,"Limpesa, eficiencia na recepção, boa localização","mulher","negócio"
334.000000,"Internet nos quartos gratuita","homem","recreação"
335.000000,"Internet nos quartos gratuita","mulher","negócio"
336.000000,"Manutenção e acabamento dos quartos e área de lazer deixaram a desejar","homem","recreação"
337.000000,"tarifa muito alta","mulher","negócio"
338.000000,"preço exorbitante do café da manhã","homem","recreação"
339.000000,"preço exorbitante do café da manhã","mulher","negócio"
340.000000,"preço exorbitante do café da manhã","homem","recreação"
341.000000,"Serviço impecável","mulher","negócio"
342.000000,"Servico impecável","homem","recreação"
343.000000,"quarto confortável e bonito, café da manhã maravilhoso","mulher","recreação"
344.000000,"café da manhã maravilhoso","homem","recreação"
345.000000,"quarto confortável e bonito","mulher","negócio"
346.000000,"Todos os funcionários foram extremamente atenciosos","homem","recreação"
347.000000,"Todos os funcionários foram extremamente atenciosos","mulher","recreação"
348.000000,"Todos os funcionários foram atenciosos","mulher","negócio"
349.000000,"Adoramos o check in ","mulher","recreação"
350.000000,"Tudo perfeito","homem","recreação"
351.000000,"Tudo perfeito","mulher","negócio"
352.000000,"Nada a reclamar","mulher","recreação"
353.000000,"Nada a reclamar","homem","recreação"
354.000000,"Nada a reclamar","mulher","negócio"
355.000000,"Nada a reclamar","homem","recreação"
356.000000,"Nada a reclamar","mulher","negócio"
357.000000,"Nada a reclamar","homem","recreação"
358.000000,"Acomodações muito boas","mulher","negócio"
359.000000,"nas espectaculares condiçoes da suite","homem","recreação"
360.000000,"a extrema simpatia do staff","mulher","negócio"
361.000000,"simpatia do director do Hotel","homem","recreação"
362.000000,"O cheiro de mofo nos elevadores e no quarto eram inaceitáveis","mulher","recreação"
363.000000,"o carpet do meu quarto estava em mas condicoes","homem","negócio"
364.000000,"carpet sujo com manchas","mulher","recreação"
365.000000,"O café da manhã e o Happy-hour são excepcionais","homem","recreação"
366.000000,"O check-in foi demorado","mulher","negócio"
367.000000,"O equipamento dos apartamentos precissam de modernizacao","homem","negócio"
368.000000,"Serviço excepcional","mulher","recreação"
369.000000,"Serviço excepcional","homem","recreação"
370.000000,"Serviço excepcional","mulher","negócio"
371.000000,"Serviço excepcional","homem","recreação"
372.000000,"upgrade de cortesia","mulher","negócio"
373.000000,"upgrade de cortesia","homem","recreação"
374.000000,"eficiência no chack out","homem","negócio"
375.000000,"eficiência no chack out","mulher","recreação"
376.000000,"Serviço muito atencioso","mulher","negócio"
377.000000,"Boa localização","homem","recreação"
378.000000,"bom relacionamento preco e qualidade","mulher","negócio"
379.000000,"atendimento do Lounge não foi como esperado","mulher","recreação"
380.000000,"Serviço muito atencioso","homem","negócio"
381.000000,"Pratos deliciosos, cama muito confortavel","homem","recreação"
382.000000,"Pratos deliciosos","mulher","negócio"
383.000000,"cama muito confortavel","homem","recreação"
384.000000,"cama muito confortavel","mulher","negócio"
385.000000,"cama muito confortavel","homem","recreação"
386.000000,"cama confortavel","mulher","negócio"
387.000000,"uma vista maravilhosa","homem","recreação"
388.000000,"vista maravilhosa","mulher","negócio"
389.000000,"Preco exorbitante","homem","recreação"
390.000000,"profissionalismo de todos funcionarios","mulher","negócio"
391.000000,"execelentes condições de hospedagem","homem","recreação"
392.000000,"os quartos necessitam de modernização","mulher","negócio"
393.000000,"os quartos necessitam de modernização","homem","recreação"
394.000000,"os quartos necessitam de modernização","mulher","negócio"
395.000000,"cordialidade dos atendentes","homem","recreação"
396.000000,"cordialidade dos atendentes","mulher","negócio"
397.000000,"cordialidade dos atendentes","homem","recreação"
398.000000,"O serviço é bastante impessoal","mulher","negócio"
399.000000,"O serviço é bastante impessoal","homem","recreação"
400.000000,"O serviço é péssimo","mulher","negócio"
401.000000,"o quarto estava umido","homem","recreação"
402.000000,"o lençol e os travesseiros estavam com mau cheiro","mulher","negócio"
403.000000,"O quarto estava bem localizado","homem","recreação"
404.000000,"janela minúscula","mulher","negócio"
405.000000,"O quarto muito bom e a cama maravilhosa","homem","recreação"
406.000000,"Pessoas mal treinadas","mulher","recreação"
407.000000,"processo de check in e check out muito lento","homem","recreação"
408.000000,"Staff muito simpático e prestável","mulher","recreação"
409.000000,"Staff muito simpático e prestável","homem","recreação"
410.000000,"pessoal muito simpático e prestável","mulher","recreação"
411.000000,"Rapidez no atendimento na recepção","homem","recreação"
412.000000,"Quarto muito grande e confortável","mulher","recreação"
413.000000,"ótima localização","homem","recreação"
414.000000,"serviço atencioso e boa qualidade do restaurante","mulher","recreação"
415.000000,"serviço atencioso e boa qualidade do restaurante","mulher","recreação"
416.000000,"serviço atencioso e boa qualidade do restaurante","homem","recreação"
417.000000,"serviço atencioso e boa qualidade do restaurante","mulher","recreação"
418.000000,"serviço atencioso e boa qualidade do restaurante","homem","recreação"
419.000000,"Senti-me confortável","mulher","recreação"
420.000000,"Serviço impecável","homem","recreação"
421.000000,"quarto confortável e bonito","mulher","recreação"
422.000000,"Hotel com pouca infraestrutura, mal localizado, com um elevador que é uma piada","mulher","recreação"
423.000000,"quarto pequeno e com instalações antigas","homem","recreação"
424.000000,"Não recomendo a ninguém","mulher","recreação"
425.000000,"O Hotel é realmente bem limpo","homem","recreação"
426.000000,"Os funcionários são atenciosos e educados","mulher","recreação"
427.000000,"Excelente Hotel, ótima localização, atendimento extremamente cordial e eficiente","homem","recreação"
428.000000,"acomodações confortáveis, restaurante muito bom","mulher","recreação"
429.000000,"preço justo","homem","recreação"
430.000000,"recomendo a todos que visitarem Paris","mulher","recreação"
